currency,date,rates
ISK,2018-02-14,5.4451
JPY,2018-02-14,5.7583
KRW,2018-02-14,57.896
MYR,2018-02-14,0.20962
NOK,2018-02-14,0.42251
NZD,2018-02-14,0.073383
PHP,2018-02-14,2.8005
PLN,2018-02-14,0.18144
RON,2018-02-14,0.2027
RUB,2018-02-14,3.0813
SEK,2018-02-14,0.43189
SGD,2018-02-14,0.070848
THB,2018-02-14,1.6873
TRY,2018-02-14,0.2041
USD,2018-02-14,0.053703
ZAR,2018-02-14,0.63471
AUD,2018-02-13,0.068392
BGN,2018-02-13,0.085116
BRL,2018-02-13,0.17687
CAD,2018-02-13,0.067647
CHF,2018-02-13,0.050144
CNY,2018-02-13,0.34052
CZK,2018-02-13,1.1048
DKK,2018-02-13,0.32417
EUR,2018-02-13,0.04352
GBP,2018-02-13,0.038704
HKD,2018-02-13,0.41982
HRK,2018-02-13,0.3236
HUF,2018-02-13,13.585
IDR,2018-02-13,732.09
ILS,2018-02-13,0.18963
INR,2018-02-13,3.45
ISK,2018-02-13,5.4574
JPY,2018-02-13,5.7803
KRW,2018-02-13,58.238
MYR,2018-02-13,0.21185
NOK,2018-02-13,0.42396
NZD,2018-02-13,0.073727
PHP,2018-02-13,2.7977
PLN,2018-02-13,0.18183
RON,2018-02-13,0.20274
RUB,2018-02-13,3.1011
SEK,2018-02-13,0.43254
SGD,2018-02-13,0.070998
THB,2018-02-13,1.6912
TRY,2018-02-13,0.20396
USD,2018-02-13,0.053673
ZAR,2018-02-13,0.64314
AUD,2018-02-12,0.06851
BGN,2018-02-12,0.085645
BRL,2018-02-12,0.17698
CAD,2018-02-12,0.067556
CHF,2018-02-12,0.050372
CNY,2018-02-12,0.33983
CZK,2018-02-12,1.1104
DKK,2018-02-12,0.32606
EUR,2018-02-12,0.043791
GBP,2018-02-12,0.038798
HKD,2018-02-12,0.41992
HRK,2018-02-12,0.32635
HUF,2018-02-12,13.661
IDR,2018-02-12,732.31
ILS,2018-02-12,0.18926
INR,2018-02-12,3.4548
ISK,2018-02-12,5.4913
JPY,2018-02-12,5.8342
KRW,2018-02-12,58.167
MYR,2018-02-12,0.21181
NOK,2018-02-12,0.42685
NZD,2018-02-12,0.074085
PHP,2018-02-12,2.7908
PLN,2018-02-12,0.18282
RON,2018-02-12,0.20373
RUB,2018-02-12,3.1128
SEK,2018-02-12,0.43438
SGD,2018-02-12,0.071186
THB,2018-02-12,1.7023
TRY,2018-02-12,0.20427
USD,2018-02-12,0.0537
ZAR,2018-02-12,0.64249
AUD,2018-02-11,0.068077
BGN,2018-02-11,0.084692
BRL,2018-02-11,0.17427
CAD,2018-02-11,0.067012
CHF,2018-02-11,0.049799
CNY,2018-02-11,0.335
CZK,2018-02-11,1.0971
DKK,2018-02-11,0.32234
EUR,2018-02-11,0.043303
GBP,2018-02-11,0.038427
HKD,2018-02-11,0.41565
HRK,2018-02-11,0.32233
HUF,2018-02-11,13.514
IDR,2018-02-11,725.93
ILS,2018-02-11,0.18739
INR,2018-02-11,3.4211
ISK,2018-02-11,5.4216
JPY,2018-02-11,5.7849
KRW,2018-02-11,57.862
MYR,2018-02-11,0.21045
NOK,2018-02-11,0.4243
NZD,2018-02-11,0.073408
PHP,2018-02-11,2.7421
PLN,2018-02-11,0.18145
RON,2018-02-11,0.20163
RUB,2018-02-11,3.0964
SEK,2018-02-11,0.43064
SGD,2018-02-11,0.070675
THB,2018-02-11,1.69
TRY,2018-02-11,0.20339
USD,2018-02-11,0.053146
ZAR,2018-02-11,0.64418
AUD,2018-02-10,0.068077
BGN,2018-02-10,0.084692
BRL,2018-02-10,0.17427
CAD,2018-02-10,0.067012
CHF,2018-02-10,0.049799
CNY,2018-02-10,0.335
CZK,2018-02-10,1.0971
DKK,2018-02-10,0.32234
EUR,2018-02-10,0.043303
GBP,2018-02-10,0.038427
HKD,2018-02-10,0.41565
HRK,2018-02-10,0.32233
HUF,2018-02-10,13.514
IDR,2018-02-10,725.93
ILS,2018-02-10,0.18739
INR,2018-02-10,3.4211
ISK,2018-02-10,5.4216
JPY,2018-02-10,5.7849
KRW,2018-02-10,57.862
MYR,2018-02-10,0.21045
NOK,2018-02-10,0.4243
NZD,2018-02-10,0.073408
PHP,2018-02-10,2.7421
PLN,2018-02-10,0.18145
RON,2018-02-10,0.20163
RUB,2018-02-10,3.0964
SEK,2018-02-10,0.43064
SGD,2018-02-10,0.070675
THB,2018-02-10,1.69
TRY,2018-02-10,0.20339
USD,2018-02-10,0.053146
ZAR,2018-02-10,0.64418
AUD,2018-02-09,0.068077
BGN,2018-02-09,0.084692
BRL,2018-02-09,0.17427
CAD,2018-02-09,0.067012
CHF,2018-02-09,0.049799
CNY,2018-02-09,0.335
CZK,2018-02-09,1.0971
DKK,2018-02-09,0.32234
EUR,2018-02-09,0.043303
GBP,2018-02-09,0.038427
HKD,2018-02-09,0.41565
HRK,2018-02-09,0.32233
HUF,2018-02-09,13.514
IDR,2018-02-09,725.93
ILS,2018-02-09,0.18739
INR,2018-02-09,3.4211
ISK,2018-02-09,5.4216
JPY,2018-02-09,5.7849
KRW,2018-02-09,57.862
MYR,2018-02-09,0.21045
NOK,2018-02-09,0.4243
NZD,2018-02-09,0.073408
PHP,2018-02-09,2.7421
PLN,2018-02-09,0.18145
RON,2018-02-09,0.20163
RUB,2018-02-09,3.0964
SEK,2018-02-09,0.43064
SGD,2018-02-09,0.070675
THB,2018-02-09,1.69
TRY,2018-02-09,0.20339
USD,2018-02-09,0.053146
ZAR,2018-02-09,0.64418
AUD,2018-02-08,0.068253
BGN,2018-02-08,0.085057
BRL,2018-02-08,0.17411
CAD,2018-02-08,0.066983
CHF,2018-02-08,0.050252
CNY,2018-02-08,0.33726
CZK,2018-02-08,1.098
DKK,2018-02-08,0.32366
EUR,2018-02-08,0.04349
GBP,2018-02-08,0.038059
HKD,2018-02-08,0.41661
HRK,2018-02-08,0.32355
HUF,2018-02-08,13.524
IDR,2018-02-08,727.23
ILS,2018-02-08,0.18624
INR,2018-02-08,3.4258
ISK,2018-02-08,5.4449
JPY,2018-02-08,5.8411
KRW,2018-02-08,58.076
MYR,2018-02-08,0.20955
NOK,2018-02-08,0.42124
NZD,2018-02-08,0.073784
PHP,2018-02-08,2.7532
PLN,2018-02-08,0.18133
RON,2018-02-08,0.20231
RUB,2018-02-08,3.0828
SEK,2018-02-08,0.43041
SGD,2018-02-08,0.070836
THB,2018-02-08,1.6965
TRY,2018-02-08,0.2031
USD,2018-02-08,0.053283
ZAR,2018-02-08,0.64369
AUD,2018-02-07,0.068052
BGN,2018-02-07,0.084861
BRL,2018-02-07,0.17386
CAD,2018-02-07,0.067015
CHF,2018-02-07,0.050375
CNY,2018-02-07,0.3359
CZK,2018-02-07,1.0947
DKK,2018-02-07,0.32295
EUR,2018-02-07,0.04339
GBP,2018-02-07,0.038476
HKD,2018-02-07,0.41855
HRK,2018-02-07,0.32287
HUF,2018-02-07,13.443
IDR,2018-02-07,725.86
ILS,2018-02-07,0.18691
INR,2018-02-07,3.4393
ISK,2018-02-07,5.4237
JPY,2018-02-07,5.8507
KRW,2018-02-07,57.955
MYR,2018-02-07,0.20894
NOK,2018-02-07,0.41922
NZD,2018-02-07,0.073315
PHP,2018-02-07,2.7438
PLN,2018-02-07,0.18048
RON,2018-02-07,0.202
RUB,2018-02-07,3.0599
SEK,2018-02-07,0.42776
SGD,2018-02-07,0.070686
THB,2018-02-07,1.6912
TRY,2018-02-07,0.20255
USD,2018-02-07,0.053534
ZAR,2018-02-07,0.6406
AUD,2018-02-06,0.067816
BGN,2018-02-06,0.084331
BRL,2018-02-06,0.17412
CAD,2018-02-06,0.066782
CHF,2018-02-06,0.049892
CNY,2018-02-06,0.33393
CZK,2018-02-06,1.088
DKK,2018-02-06,0.32093
EUR,2018-02-06,0.043118
GBP,2018-02-06,0.038326
HKD,2018-02-06,0.41567
HRK,2018-02-06,0.32062
HUF,2018-02-06,13.395
IDR,2018-02-06,721.67
ILS,2018-02-06,0.18528
INR,2018-02-06,3.4168
ISK,2018-02-06,5.3898
JPY,2018-02-06,5.8197
KRW,2018-02-06,57.774
MYR,2018-02-06,0.20812
NOK,2018-02-06,0.41827
NZD,2018-02-06,0.073107
PHP,2018-02-06,2.7399
PLN,2018-02-06,0.17956
RON,2018-02-06,0.20026
RUB,2018-02-06,3.0489
SEK,2018-02-06,0.42551
SGD,2018-02-06,0.070343
THB,2018-02-06,1.6791
TRY,2018-02-06,0.20113
USD,2018-02-06,0.053161
ZAR,2018-02-06,0.64126
AUD,2018-02-05,0.067739
BGN,2018-02-05,0.084579
BRL,2018-02-05,0.17373
CAD,2018-02-05,0.066892
CHF,2018-02-05,0.05016
CNY,2018-02-05,0.33838
CZK,2018-02-05,1.0896
DKK,2018-02-05,0.32189
EUR,2018-02-05,0.043245
GBP,2018-02-05,0.038301
HKD,2018-02-05,0.42072
HRK,2018-02-05,0.32144
HUF,2018-02-05,13.389
IDR,2018-02-05,726.0
ILS,2018-02-05,0.18514
INR,2018-02-05,3.4485
ISK,2018-02-05,5.4056
JPY,2018-02-05,5.9103
KRW,2018-02-05,58.493
MYR,2018-02-05,0.20999
NOK,2018-02-05,0.41562
NZD,2018-02-05,0.073625
PHP,2018-02-05,2.775
PLN,2018-02-05,0.17983
RON,2018-02-05,0.20037
RUB,2018-02-05,3.0487
SEK,2018-02-05,0.42526
SGD,2018-02-05,0.070866
THB,2018-02-05,1.6962
TRY,2018-02-05,0.20227
USD,2018-02-05,0.053797
ZAR,2018-02-05,0.64712
AUD,2018-02-04,0.067791
BGN,2018-02-04,0.084828
BRL,2018-02-04,0.17346
CAD,2018-02-04,0.066738
CHF,2018-02-04,0.050295
CNY,2018-02-04,0.34069
CZK,2018-02-04,1.0926
DKK,2018-02-04,0.32282
EUR,2018-02-04,0.043373
GBP,2018-02-04,0.038103
HKD,2018-02-04,0.42372
HRK,2018-02-04,0.32247
HUF,2018-02-04,13.423
IDR,2018-02-04,729.61
ILS,2018-02-04,0.18606
INR,2018-02-04,3.4707
ISK,2018-02-04,5.4303
JPY,2018-02-04,5.9516
KRW,2018-02-04,58.779
MYR,2018-02-04,0.2106
NOK,2018-02-04,0.41492
NZD,2018-02-04,0.07356
PHP,2018-02-04,2.7971
PLN,2018-02-04,0.18017
